,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,ID
438,1916-07-02,Chile,Uruguay,0,4,Copa América,Buenos Aires,Argentina,True,1916-07-02-Chile-Uruguay
440,1916-07-06,Argentina,Chile,6,1,Copa América,Buenos Aires,Argentina,False,1916-07-06-Argentina-Chile
441,1916-07-08,Brazil,Chile,1,1,Copa América,Buenos Aires,Argentina,True,1916-07-08-Brazil-Chile
442,1916-07-10,Argentina,Brazil,1,1,Copa América,Buenos Aires,Argentina,False,1916-07-10-Argentina-Brazil
444,1916-07-12,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True,1916-07-12-Brazil-Uruguay
471,1917-09-30,Uruguay,Chile,4,0,Copa América,Montevideo,Uruguay,False,1917-09-30-Uruguay-Chile
472,1917-10-03,Argentina,Brazil,4,2,Copa América,Montevideo,Uruguay,True,1917-10-03-Argentina-Brazil
473,1917-10-06,Argentina,Chile,1,0,Copa América,Montevideo,Uruguay,True,1917-10-06-Argentina-Chile
476,1917-10-07,Uruguay,Brazil,4,0,Copa América,Montevideo,Uruguay,False,1917-10-07-Uruguay-Brazil
477,1917-10-12,Brazil,Chile,5,0,Copa América,Montevideo,Uruguay,True,1917-10-12-Brazil-Chile
479,1917-10-14,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,False,1917-10-14-Uruguay-Argentina
503,1919-05-11,Brazil,Chile,6,0,Copa América,Rio de Janeiro,Brazil,False,1919-05-11-Brazil-Chile
505,1919-05-13,Argentina,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,True,1919-05-13-Argentina-Uruguay
507,1919-05-17,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,True,1919-05-17-Chile-Uruguay
508,1919-05-18,Brazil,Argentina,3,1,Copa América,Rio de Janeiro,Brazil,False,1919-05-18-Brazil-Argentina
510,1919-05-22,Argentina,Chile,4,1,Copa América,Rio de Janeiro,Brazil,True,1919-05-22-Argentina-Chile
512,1919-05-26,Brazil,Uruguay,2,2,Copa América,Rio de Janeiro,Brazil,False,1919-05-26-Brazil-Uruguay
513,1919-05-29,Brazil,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,False,1919-05-29-Brazil-Uruguay
